floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality
1,12,1,32.0,37000,Бирюлево Восточное,Бирюлевская ,58К2,Царицыно,55.5810385,37.6693267,1
2,20,1,15.0,39000,Сосенское, Лобановский Лес,11,Ольховая,55.593554,37.4299227,1
2,14,1,21.0,36800,Филимонковское, Усадебный Парк,7к1,Филатов Луг,55.5709856,37.2823747,1
6,15,1,35.0,38000,Кокошкино, Аэростатная,6к2,Кокошкино,55.5898325,37.1730879,1
1,9,1,32.0,32000,Метрогородок,Открытое шоссе,21К3,Бульвар Рокоссовского,55.82423,37.7565351,1
3,5,1,15.0,35000,Лосиноостровский,Минусинская ,11,Бабушкинская,55.8735165,37.6922797,0
6,9,1,34.0,35000,Северное Тушино, Фомичевой,16К3,Планерная,55.8577286,37.4392064,1
11,16,1,34.7,40000,Очаково-Матвеевское,Озерная ,23К1,Озёрная,55.676393,37.4545388,1
5,5,1,35.0,36000,Царицыно,Ереванская ,6К3,Царицыно,55.6287324,37.6683831,1
11,12,1,20.0,40000,Зябликово,Ореховый бульвар,22С2,Зябликово,55.6136344,37.7370439,0
11,12,1,36.0,38000,Новокосино,Суздальская ,10К2,Новокосино,55.7369616,37.8479362,1
2,12,1,37.0,36000,Перово,Мастеровая ,17/1к2,Перово,55.7440658,37.7543123,1
9,9,1,32.0,35000,Зюзино,Балаклавский проспект,26К2,Чертановская,55.643626,37.5966464,1
5,5,1,27.0,40000,Метрогородок,Открытое шоссе,21К14,Бульвар Рокоссовского,55.8258468,37.7597794,1
4,5,1,33.0,37000,Северное Измайлово,Щелковское шоссе,54,Щёлковская,55.8097105,37.7976363,1
1,5,1,32.0,35000,Свиблово,Снежная ,17К1,Свиблово,55.8532104,37.6480672,1
1,9,2,44.4,35000,Вешняки, Старый Гай,2К3,Новогиреево,55.741742,37.8286942,1
13,13,1,26.6,32000,Рязановское,шоссе Рязановское,31к2,Силикатная,55.4771933,37.5287118,1
6,9,1,34.0,38000,Гольяново,Байкальская ,44К1,Щёлковская,55.8167643,37.8159382,1
1,17,1,20.0,35000,Марьино, Верхние Поля,42К1,Люблино,55.6644999,37.7770093,1
11,19,1,38.0,40000,Воскресенское,проезд Чечерский,122к3,Бунинская аллея,55.525935,37.5114757,1
2,5,1,35.0,37000,Рязанский, Коновалова,10,Чухлинка,55.7301525,37.7634253,1
8,9,1,35.0,35000,Чертаново Южное,Дорожная ,7К3,Покровское,55.6016588,37.6249054,1
