"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"Этажи Москва","real_estate_agent","https://www.cian.ru/rent/flat/317866255/","Москва","rent","flat","13","13","1","26","30000","0","","шоссе Рязановское","31к1","Силикатная",""
"ID 23435","realtor","https://www.cian.ru/rent/flat/151638463/","Москва","rent","flat","11","16","1","40","30000","0","Южное Бутово","2-я Мелитопольская ","19К3","Бутово",""
"Самолет Плюс","real_estate_agent","https://www.cian.ru/rent/flat/316924640/","Москва","rent","flat","4","9","1","38","30000","0","","","16","Апрелевка",""
"Игорь Королёв","realtor","https://www.cian.ru/rent/flat/316011023/","Москва","rent","flat","6","20","1","40","15000","0","Бирюлево Восточное","6-я Радиальная ","7/1к1","Царицыно",""
"ID 56237992","homeowner","https://www.cian.ru/rent/flat/316085801/","Москва","rent","flat","30","38","1","43.1","30000","0","Пресненский","Шмитовский проезд","39к6","Шелепиха",""
"ID 40406775","realtor","https://www.cian.ru/rent/flat/317794875/","Москва","rent","flat","1","2","1","22","30000","0","","","70А","Саларьево",""
"ID 72204550","unknown","https://www.cian.ru/rent/flat/317033747/","Москва","rent","flat","9","15","1","24","29999","0",""," Уточкина","5к2","Силикатная",""
"ID 1503","realtor","https://www.cian.ru/rent/flat/212698302/","Москва","rent","flat","4","5","1","16","30000","0","Хорошево-Мневники","бульвар Генерала Карбышева","19К5","Народное Ополчение",""
"ID 20260","realtor","https://www.cian.ru/rent/flat/311199540/","Москва","rent","flat","2","2","1","19.4","30000","0",""," 1-я Октябрьская","46А","Кокошкино",""
"ID 295778","realtor","https://www.cian.ru/rent/flat/317621103/","Москва","rent","flat","4","5","1","25","30000","0","Ярославский","Холмогорская ","3","Медведково",""
"Владис","real_estate_agent","https://www.cian.ru/rent/flat/317473425/","Москва","rent","flat","11","14","2","37.5","30000","0",""," Красовского","2к2","Щербинка",""
"InHome24","real_estate_agent","https://www.cian.ru/rent/flat/317781412/","Москва","rent","flat","2","3","-1","12","23990","0","","","25с1","Пыхтино",""
"ID 12772433","real_estate_agent","https://www.cian.ru/rent/flat/305869859/","Москва","rent","flat","14","16","1","45","28000","0","Троицк","проспект Октябрьский","4","",""
"ID 90069817","homeowner","https://www.cian.ru/rent/flat/317678062/","Москва","rent","flat","3","5","1","33.2","27000","0","пос. Рогово"," Юбилейная","15","",""
"ID 230637","realtor","https://www.cian.ru/rent/flat/206127435/","Москва","rent","flat","1","9","1","40","30000","0","Старое Крюково","Зеленоград","к920","Зеленоград — Крюково",""
"ID 67430309","homeowner","https://www.cian.ru/rent/flat/317461845/","Москва","rent","flat","3","9","1","20","10000","0","","","","Апрелевка",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/317524120/","Москва","rent","flat","16","17","1","27","30000","0","Крюково","проспект Георгиевский","33к2","Зеленоград — Крюково",""
"SUNRISE Estate","real_estate_agent","https://www.cian.ru/rent/flat/317204499/","Москва","rent","flat","6","13","1","50.9","30000","0","Хорошево-Мневники"," Нижние Мневники","9","Терехово ",""
"ID 282572","homeowner","https://www.cian.ru/rent/flat/317879597/","Москва","rent","flat","1","19","1","23","25000","0","Молжаниновский","Синявинская ","11к3","Подрезково",""
"Денежный квадрат","real_estate_agent","https://www.cian.ru/rent/flat/313146062/","Москва","rent","flat","11","14","1","25","29999","0",""," Уточкина","7к3","Силикатная",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/312827750/","Москва","rent","flat","8","23","1","40","30000","0","Западное Дегунино"," Летчика Осканова","6","Верхние Лихоборы",""
"ID 25628483","homeowner","https://www.cian.ru/rent/flat/317813047/","Москва","rent","flat","13","14","1","32","30000","0","","переулок Любучанский","1к1","Щербинка",""
"Заида Карданова","realtor","https://www.cian.ru/rent/flat/315890919/","Москва","rent","flat","10","12","3","79","20000","0","Можайский","Сколковское шоссе","40к2","Сетунь",""
"ID 2997","realtor","https://www.cian.ru/rent/flat/282211831/","Москва","rent","flat","9","9","1","29.5","28000","0","","","17","Апрелевка",""
"ID 13408233","homeowner","https://www.cian.ru/rent/flat/317577776/","Москва","rent","flat","1","14","1","12","26000","0","Южное Бутово"," Маршала Савицкого","18к2","Щербинка",""
"InHome24","real_estate_agent","https://www.cian.ru/rent/flat/317709073/","Москва","rent","flat","3","3","-1","18","27990","0","","","25с1","Пыхтино",""
"Татьяна Повалий","realtor","https://www.cian.ru/rent/flat/315722066/","Москва","rent","flat","18","32","1","37.8","25000","0","Можайский"," Петра Алексеева","14","Давыдково",""
"ID 77225393","homeowner","https://www.cian.ru/rent/flat/317490850/","Москва","rent","flat","1","11","2","61","30000","0","Можайский","Сколковское шоссе","40к1","Сетунь",""
"ID 11254731","realtor","https://www.cian.ru/rent/flat/310027821/","Москва","rent","flat","11","17","1","24","30000","0",""," Уточкина","5к2","Силикатная",""
"ID 92211139","unknown","https://www.cian.ru/rent/flat/317830985/","Москва","rent","flat","11","29","-1","21","29000","0","Митино","Пятницкое шоссе","56Б","Пятницкое шоссе",""
"ID 103164906","homeowner","https://www.cian.ru/rent/flat/316392874/","Москва","rent","flat","8","17","1","28","30000","0","","","","Ольховая",""
"ID 70483631","unknown","https://www.cian.ru/rent/flat/309635738/","Москва","rent","flat","4","19","1","23","26000","0","Молжаниновский","Синявинская ","11к3","Подрезково",""
"ID 7396449","realtor","https://www.cian.ru/rent/flat/291746026/","Москва","rent","flat","2","23","1","27","30000","0",""," Барышевская Роща","18","Щербинка",""
"ID 105793344","homeowner","https://www.cian.ru/rent/flat/317835457/","Москва","rent","flat","2","8","1","25","30000","0",""," Братьев Бромлей","5к2","Филатов Луг",""
"ID 902830","unknown","https://www.cian.ru/rent/flat/317799515/","Москва","rent","flat","1","1","1","24","30000","0",""," Красная","10","Остафьево",""
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317086975/","Москва","rent","flat","1","3","1","20","29000","0",""," Радужная","2","Троицк",""
"ID 105212107","homeowner","https://www.cian.ru/rent/flat/317648501/","Москва","rent","flat","1","15","-1","20","27000","0",""," Барышевская Роща","2","Щербинка",""
"ID 452216","realtor","https://www.cian.ru/rent/flat/315804369/","Москва","rent","flat","7","8","1","45.5","25000","0",""," Татьянин Парк","12к5","Говорово",""
"ГОРОД НЕДВИЖИМОСТИ","real_estate_agent","https://www.cian.ru/rent/flat/316821016/","Москва","rent","flat","3","4","1","36.8","17000","0",""," Ирландская","4к2","Потапово",""
"ID 49660823","homeowner","https://www.cian.ru/rent/flat/314115077/","Москва","rent","flat","6","22","1","35.4","30000","0","","бульвар Андрея Тарковского","10","Рассказовка",""
"ID 52785355","unknown","https://www.cian.ru/rent/flat/317114235/","Москва","rent","flat","6","22","1","35.1","20000","0","","бульвар Андрея Тарковского","10","Рассказовка",""
"ID 86403450","homeowner","https://www.cian.ru/rent/flat/315958411/","Москва","rent","flat","11","13","1","34.2","30000","0","Покровское-Стрешнево"," Николая Озерова","8к1","Спартак",""
"ID 84760815","homeowner","https://www.cian.ru/rent/flat/315987847/","Москва","rent","flat","10","16","2","40.3","23000","0",""," Лобановский Лес","11","Ольховая",""
"ID 97160450","homeowner","https://www.cian.ru/rent/flat/317596982/","Москва","rent","flat","9","18","1","35","15000","0",""," Уточкина","7к1","Силикатная",""
"ID 4699048","homeowner","https://www.cian.ru/rent/flat/316803127/","Москва","rent","flat","15","39","3","96","25000","0","Раменки"," Василия Ланового","3","Аминьевская",""
"Екатерина Новикова","realtor","https://www.cian.ru/rent/flat/314045263/","Москва","rent","flat","1","2","-1","15","28000","0","Молжаниновский","Синявинская ","26","Подрезково",""
"ID 15939880","unknown","https://www.cian.ru/rent/flat/317042099/","Москва","rent","flat","3","5","1","35","30000","0","Южное Бутово"," Типографская","14","Щербинка",""
"ID 13231512","homeowner","https://www.cian.ru/rent/flat/316899829/","Москва","rent","flat","8","41","3","84.1","30000","0","Коньково"," Академика Волгина","2К1","Университет Дружбы Народов",""
"ID 86357323","homeowner","https://www.cian.ru/rent/flat/316512376/","Москва","rent","flat","6","24","1","23.7","20000","0","Покровское-Стрешнево"," Николая Озерова","8к1","Спартак",""
"ID 128868454","homeowner","https://www.cian.ru/rent/flat/315338255/","Москва","rent","flat","7","24","1","20.9","30000","0","Солнцево","Производственная ","17","Солнцево",""
"ID 96282650","homeowner","https://www.cian.ru/rent/flat/317373855/","Москва","rent","flat","2","9","1","44.1","30000","0",""," Бориса Пастернака","4","Мичуринец",""
"ID 20149072","homeowner","https://www.cian.ru/rent/flat/316639341/","Москва","rent","flat","2","12","1","29.4","27000","0","","","к18-19","Потапово","Эко Бунино ЖК"
"ID 94752697","homeowner","https://www.cian.ru/rent/flat/310381181/","Москва","rent","flat","4","41","3","70","20000","0","Хорошево-Мневники","Шелепихинская набережная","34к5","Шелепиха",""
"ID 13755142","homeowner","https://www.cian.ru/rent/flat/317312092/","Москва","rent","flat","15","24","1","22","20000","0","Покровское-Стрешнево"," Николая Озерова","8к1","Спартак",""
"ID 90711319","homeowner","https://www.cian.ru/rent/flat/312862354/","Москва","rent","flat","1","4","1","30","30000","0",""," Жемчужная","","Филатов Луг",""
"ID 97132590","homeowner","https://www.cian.ru/rent/flat/307298125/","Москва","rent","flat","12","25","3","80","20000","0","Покровское-Стрешнево","Волоколамское шоссе","81/2с1","Трикотажная",""
"ID 75649013","homeowner","https://www.cian.ru/rent/flat/313984865/","Москва","rent","flat","11","19","-1","40","25000","0",""," Лазурная","14","Новомосковская",""
"ID 130294603","homeowner","https://www.cian.ru/rent/flat/316762564/","Москва","rent","flat","11","15","1","41","17000","0",""," Гореловская","3","Силикатная",""
"ID 87798972","homeowner","https://www.cian.ru/rent/flat/316304407/","Москва","rent","flat","8","20","-1","57","30000","0","Бирюлево Восточное","6-я Радиальная ","7/1к1","Царицыно",""
"ID 103740432","realtor","https://www.cian.ru/rent/flat/292196737/","Москва","rent","flat","1","17","-1","90","21000","0","Ново-Переделкино","Боровское шоссе","39","Новопеределкино",""
"Циан х ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/316642425/","Москва","rent","flat","5","15","1","37.3","38000","0",""," Барышевская Роща","12","Щербинка",""
"Циан х ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317090827/","Москва","rent","flat","11","14","1","17.9","34800","0","","проспект Куприна","30к9","Потапово",""
"ID 31895155","unknown","https://www.cian.ru/rent/flat/241590569/","Москва","rent","flat","1","14","1","37","35000","0","Марьино"," Верхние Поля","38К1","Люблино",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/315709695/","Москва","rent","flat","2","19","1","19.6","37000","0","Митино","Муравская ","38Бк3","Пятницкое шоссе",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/316243422/","Москва","rent","flat","10","16","1","34.7","39000","0","Вешняки"," Красный Казанец","5","Вешняки",""
"Наира Варданян","realtor","https://www.cian.ru/rent/flat/317886279/","Москва","rent","flat","11","16","1","45","37000","0","Текстильщики"," 8-я Текстильщиков","12К2","Текстильщики",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/315401195/","Москва","rent","flat","2","14","1","22","36800","0",""," Усадебный Парк","7к1","Филатов Луг",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/313926222/","Москва","rent","flat","19","19","1","19.9","37900","0","Митино","Муравская ","38Бк3","Пятницкое шоссе",""
"ID 90232694","realtor","https://www.cian.ru/rent/flat/317902541/","Москва","rent","flat","8","12","1","35","38000","0","Бабушкинский"," Летчика Бабушкина","33К1","Бабушкинская",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/316020221/","Москва","rent","flat","3","17","1","19.5","36800","0","Южное Бутово","Варшавское шоссе","284к1","Щербинка",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/315456363/","Москва","rent","flat","4","19","1","19.7","40000","0","Митино","Муравская ","38Бк3","Пятницкое шоссе",""
"ID 96155269","homeowner","https://www.cian.ru/rent/flat/317732668/","Москва","rent","flat","2","3","1","30","37000","0",""," Озерная","","Румянцево",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/315775454/","Москва","rent","flat","14","14","1","19","36800","0",""," Усадебный Парк","7","Филатов Луг",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/310970099/","Москва","rent","flat","2","19","1","19","40000","0","Митино","Муравская ","38Бк3","Пятницкое шоссе",""
"ID 99804810","homeowner","https://www.cian.ru/rent/flat/317816377/","Москва","rent","flat","4","16","1","22","40000","0","","проспект Новосередневский","17к1","Филатов Луг",""
"Гранд Сервис Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/317906599/","Москва","rent","flat","3","5","1","33","40000","0","Преображенское","Большая Черкизовская ","30К3","Черкизовская",""
"KeyPoint Realty","real_estate_agent","https://www.cian.ru/rent/flat/317922041/","Москва","rent","flat","2","2","1","11","35000","0","Люблино","Егорьевский проезд","3ЖС1","Депо",""
"Квартирный вопрос","real_estate_agent","https://www.cian.ru/rent/flat/317880745/","Москва","rent","flat","4","5","1","36","35000","0","Черемушки"," Архитектора Власова","13К4","Профсоюзная",""
"ID 131408554","realtor","https://www.cian.ru/rent/flat/317911444/","Москва","rent","flat","9","15","1","34.3","37000","0",""," Аэростатная","15к10","Кокошкино",""
"Ольга Кадырова","realtor","https://www.cian.ru/rent/flat/317341153/","Москва","rent","flat","9","19","1","36","39000","0","Некрасовка","Рождественская ","6","Некрасовка",""
"Светлана Ларина","realtor","https://www.cian.ru/rent/flat/317892757/","Москва","rent","flat","6","16","1","32","40000","0","Марфино","Ботаническая ","33К8","Владыкино",""
"ID 78498168","realtor","https://www.cian.ru/rent/flat/317526970/","Москва","rent","flat","1","16","1","36","35000","0","Гольяново","Красноярская ","1","Щёлковская",""
"AGORA","real_estate_agent","https://www.cian.ru/rent/flat/317571492/","Москва","rent","flat","5","14","1","42","40000","0","Братеево"," Борисовские Пруды","44","Алма-Атинская",""
"Оксана Толкачева","realtor","https://www.cian.ru/rent/flat/310425576/","Москва","rent","flat","3","12","1","43.5","32000","0",""," Гореловская","3","Силикатная",""
"Сергей Петряев","realtor","https://www.cian.ru/rent/flat/317794113/","Москва","rent","flat","7","17","1","38","40000","0","","проспект Нововатутинский","14","Ольховая",""
"Дмитрий Шпак","realtor","https://www.cian.ru/rent/flat/317942061/","Москва","rent","flat","13","22","1","38","40000","0","Строгино","Таллинская ","26","Строгино",""
"ID 116516294","homeowner","https://www.cian.ru/rent/flat/301962658/","Москва","rent","flat","22","24","1","39.9","33000","0","Косино-Ухтомский","Лухмановская ","20","Лухмановская",""
"Павел Пинек","realtor","https://www.cian.ru/rent/flat/317906094/","Москва","rent","flat","15","17","1","38","32000","0",""," Текстильщиков","3к3","Ольховая",""
"Алексей Карнелик","realtor","https://www.cian.ru/rent/flat/317831627/","Москва","rent","flat","12","12","1","33","40000","0","Северное Тушино"," Свободы","63","Сходненская",""
"Галина Самойлович","realtor","https://www.cian.ru/rent/flat/278699649/","Москва","rent","flat","6","9","1","36","33000","0","Ярославский","Холмогорская ","2К1","Медведково",""
"Дмитрий Шпак","realtor","https://www.cian.ru/rent/flat/317757720/","Москва","rent","flat","3","9","1","33","35000","0","Гольяново","Алтайская ","26","Щёлковская",""
"ИНГРУПП","real_estate_agent","https://www.cian.ru/rent/flat/317692171/","Москва","rent","flat","21","23","1","38","40000","0","Можайский","Барвихинская ","4К2","Сетунь",""
"Василий Счастье","realtor","https://www.cian.ru/rent/flat/317821515/","Москва","rent","flat","4","5","1","35","37999","0","Измайлово","11-я Парковая ","37К1","Первомайская",""
"LM","real_estate_agent","https://www.cian.ru/rent/flat/317678440/","Москва","rent","flat","1","4","-1","17","40000","0","Солнцево"," 50 лет Октября","2К2","Говорово",""
"ИНГРУПП","real_estate_agent","https://www.cian.ru/rent/flat/307043247/","Москва","rent","flat","1","5","2","48","40000","0","Дмитровский","Карельский бульвар","22","Лианозово",""
"Фундамент","real_estate_agent","https://www.cian.ru/rent/flat/317861079/","Москва","rent","flat","1","4","1","20","38000","0","Хорошевский","1-й Хорошевский проезд","10К2","Беговая",""
"Надежда Меркулова","realtor","https://www.cian.ru/rent/flat/315900535/","Москва","rent","flat","11","16","1","34.8","40000","0","Бибирево"," Лескова","30К1","Бибирево",""
"Максим Гаврилов","realtor","https://www.cian.ru/rent/flat/316088250/","Москва","rent","flat","12","12","1","39.4","40000","0","Ивановское","Челябинская ","24К1","Первомайская",""
"Павел Конорев","realtor","https://www.cian.ru/rent/flat/317729863/","Москва","rent","flat","8","9","1","33","40000","0","Ясенево","Новоясеневский проспект","19К4","Новоясеневская",""
"Павел Пинек","realtor","https://www.cian.ru/rent/flat/317838530/","Москва","rent","flat","8","16","1","38","40000","0","Братеево"," Борисовские Пруды","20К2","Борисово",""
"Максим Гаврилов","realtor","https://www.cian.ru/rent/flat/317782838/","Москва","rent","flat","7","17","1","20","35000","0",""," Мостотреста","10к2","Щербинка",""
"Ольга Миронова","realtor","https://www.cian.ru/rent/flat/317721140/","Москва","rent","flat","1","21","2","60","40000","0","","проспект Куприна","24к1","Потапово",""
"АЛЬФА","real_estate_agent","https://www.cian.ru/rent/flat/317802294/","Москва","rent","flat","1","5","1","14","40000","0","Алексеевский","Ракетный бульвар","8","ВДНХ",""
"ID 12552707","realtor","https://www.cian.ru/rent/flat/317432223/","Москва","rent","flat","5","5","1","33","40000","0","Преображенское","Просторная ","10К1","Бульвар Рокоссовского",""
"Тимофей Николаев","realtor","https://www.cian.ru/rent/flat/317837175/","Москва","rent","flat","3","12","1","36","35000","0","Гольяново","Уральская ","3","Щёлковская",""
"VITA ESTATE","real_estate_agent","https://www.cian.ru/rent/flat/251519273/","Москва","rent","flat","1","5","1","33","36000","0","Очаково-Матвеевское","Матвеевская ","28","Матвеевская",""
"WOW-риэлтор","real_estate_agent","https://www.cian.ru/rent/flat/317941079/","Москва","rent","flat","18","25","1","21","40000","0","Южное Бутово","Бартеневская ","18к2","Бунинская аллея",""
"Квартирный вопрос","real_estate_agent","https://www.cian.ru/rent/flat/317621843/","Москва","rent","flat","2","5","1","32","40000","0","Покровское-Стрешнево","Волоколамское шоссе","96/2","Тушинская",""
"Марина Зинкина","realtor","https://www.cian.ru/rent/flat/317368632/","Москва","rent","flat","2","9","1","33","40000","0","Тимирязевский","Дмитровское шоссе","41К1","Петровско-Разумовская",""
"АРКАНА","real_estate_agent","https://www.cian.ru/rent/flat/317114574/","Москва","rent","flat","1","14","1","20","36000","0","Восточное Дегунино","Бескудниковский бульвар","8К1","Верхние Лихоборы",""
"ID 86398099","unknown","https://www.cian.ru/rent/flat/317854928/","Москва","rent","flat","3","12","1","36","35000","0","Лианозово","Илимская ","2","Лианозово",""
"РОЙАЛ-недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/317940753/","Москва","rent","flat","10","24","-1","23","40000","0","Митино","Пятницкое шоссе","56Б","Пятницкое шоссе",""
"Фундамент","real_estate_agent","https://www.cian.ru/rent/flat/317860839/","Москва","rent","flat","5","14","1","20","36000","0","Марфино","Ботаническая ","33Вс1","Окружная",""
"Николай Голышев","realtor","https://www.cian.ru/rent/flat/317796028/","Москва","rent","flat","5","9","1","32.1","35000","0","Обручевский"," Гарибальди","20/29К1","Новые Черёмушки",""
"ID 35480","realtor","https://www.cian.ru/rent/flat/278599211/","Москва","rent","flat","3","4","1","14","38000","0","Северное Измайлово","Сиреневый бульвар","15","Щёлковская",""
"ID 73889857","unknown","https://www.cian.ru/rent/flat/314020406/","Москва","rent","flat","1","5","2","42","40000","0","Лосиноостровский","Анадырский проезд","41","Бабушкинская",""
"Павел Конорев","realtor","https://www.cian.ru/rent/flat/315316868/","Москва","rent","flat","3","9","1","35","38000","0","Тимирязевский","Дмитровское шоссе","44К2","Окружная",""
"Ирина Симаченкова","realtor","https://www.cian.ru/rent/flat/293042183/","Москва","rent","flat","8","17","1","42","35000","0",""," Кварцевая","5к3","Ольховая",""
"ID 21793673","unknown","https://www.cian.ru/rent/flat/317419191/","Москва","rent","flat","4","15","1","23.7","37000","0","Молжаниновский","Ленинградское шоссе","228к4","Молжаниново",""
"ID 90439500","unknown","https://www.cian.ru/rent/flat/287934442/","Москва","rent","flat","8","9","1","33","35000","0","Гольяново","Щелковское шоссе","69С2","Щёлковская",""
"ID 698049","unknown","https://www.cian.ru/rent/flat/317384679/","Москва","rent","flat","7","9","1","20","32000","0","Южное Бутово","Варшавское шоссе","282к3","Щербинка",""
"WOW-риэлтор","real_estate_agent","https://www.cian.ru/rent/flat/317108670/","Москва","rent","flat","1","14","1","20","36000","0","Восточное Дегунино","Бескудниковский бульвар","8К1","Верхние Лихоборы",""
"Маргарита Семенихина","realtor","https://www.cian.ru/rent/flat/315572334/","Москва","rent","flat","8","14","2","42","37000","0","Бирюлево Восточное","Донбасская ","7","Царицыно",""
"ID 194451","realtor","https://www.cian.ru/rent/flat/309054955/","Москва","rent","flat","4","9","1","30","40000","0","Измайлово","Сиреневый бульвар","14К1","Щёлковская",""
"Ринат Аюпов","realtor","https://www.cian.ru/rent/flat/226459165/","Москва","rent","flat","8","12","1","35","38000","0","Бирюлево Восточное","Элеваторная ","14","Царицыно",""
"ID 26742302","realtor","https://www.cian.ru/rent/flat/317057513/","Москва","rent","flat","4","17","1","23","35000","0","Южное Бутово","Варшавское шоссе","282к2","Щербинка",""
"Александр Мандыч","realtor","https://www.cian.ru/rent/flat/316245082/","Москва","rent","flat","8","9","1","38","40000","0","Ивановское"," Молостовых","17К2","Новогиреево",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/317638805/","Москва","rent","flat","9","10","1","38","35000","0","Южное Бутово","Южнобутовская ","23","Улица Горчакова",""
"Ринат Аюпов","realtor","https://www.cian.ru/rent/flat/317625216/","Москва","rent","flat","9","14","1","25.5","33000","0",""," Уточкина","7к3","Силикатная",""
"Михаил Меликов","realtor","https://www.cian.ru/rent/flat/317835188/","Москва","rent","flat","1","16","1","40","40000","0","Зябликово"," Мусы Джалиля","27К2","Шипиловская",""
"ID 50464905","realtor","https://www.cian.ru/rent/flat/303966928/","Москва","rent","flat","10","14","1","32","35000","0","Выхино-Жулебино","Ферганская ","9К5","Юго-Восточная",""
"ID 69816592","homeowner","https://www.cian.ru/rent/flat/317863807/","Москва","rent","flat","3","17","1","39.3","38000","0","Лианозово","Псковская ","5К3","Лианозово",""
"ID 45423891","homeowner","https://www.cian.ru/rent/flat/299958288/","Москва","rent","flat","1","3","1","23","34000","0",""," Шекспира","1к1","Рассказовка",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/317267085/","Москва","rent","flat","2","9","1","15","32000","0","Старое Крюково","Зеленоград","к814","Зеленоград — Крюково",""
"ID 58132894","homeowner","https://www.cian.ru/rent/flat/317937300/","Москва","rent","flat","4","14","1","21","36900","0",""," Братьев Бромлей","5к2","Филатов Луг",""
"ID 131436151","homeowner","https://www.cian.ru/rent/flat/317940029/","Москва","rent","flat","1","5","1","35.1","40000","0","Измайлово","9-я Парковая ","50К1","Первомайская",""
"Игорь Михайлович Новосёлов","realtor","https://www.cian.ru/rent/flat/317716147/","Москва","rent","flat","6","9","1","34","40000","0","Восточное Измайлово","Первомайская ","82","Первомайская",""
"ID 101716220","homeowner","https://www.cian.ru/rent/flat/312433243/","Москва","rent","flat","5","5","1","30","40000","0","Нижегородский","Басовская ","4","Нижегородская",""
"ID 107707219","homeowner","https://www.cian.ru/rent/flat/317944003/","Москва","rent","flat","3","5","2","46","35000","0","Северное Измайлово","15-я Парковая ","42К9","Щёлковская",""
"Мой Дом - отделение Добрынинское","real_estate_agent","https://www.cian.ru/rent/flat/316923938/","Москва","rent","flat","12","17","1","38","40000","0","Москворечье-Сабурово"," Борисовские Пруды","13К2","Борисово",""
"ID 120298200","homeowner","https://www.cian.ru/rent/flat/317426618/","Москва","rent","flat","3","5","1","27","38000","0","Головинский","Смольная ","9","Водный стадион",""
"ID 125588772","homeowner","https://www.cian.ru/rent/flat/317687115/","Москва","rent","flat","14","14","1","38.1","40000","0","Выхино-Жулебино","Привольная ","71К1","Жулебино",""
"Millennium estate","real_estate_agent","https://www.cian.ru/rent/flat/317704510/","Москва","rent","flat","5","6","-1","20","35000","0","Перово"," 2-я Энтузиастов","5к39","Андроновка",""
"ID 19179404","homeowner","https://www.cian.ru/rent/flat/194129929/","Москва","rent","flat","6","18","1","20","40000","0","Крюково","проспект Георгиевский","37к1","Зеленоград — Крюково",""
"Ольга Прохорова","realtor","https://www.cian.ru/rent/flat/188533445/","Москва","rent","flat","4","5","1","32","36000","0","Измайлово","7-я Парковая ","2К2","Первомайская",""
"ID 17982029","homeowner","https://www.cian.ru/rent/flat/316850619/","Москва","rent","flat","1","12","1","15","40000","0","Преображенское","2-я Пугачевская ","7К1","Преображенская площадь",""
"Инесса Судьина","realtor","https://www.cian.ru/rent/flat/316927425/","Москва","rent","flat","12","14","1","35","35000","0",""," Логинова","7к1","Щербинка",""
"Inrealty","real_estate_agent","https://www.cian.ru/rent/flat/317865287/","Москва","rent","flat","5","5","1","33","37000","0","Раменки","Мосфильмовская ","32","Ломоносовский проспект",""
"ID 49738344","homeowner","https://www.cian.ru/rent/flat/316872593/","Москва","rent","flat","7","25","1","23","35000","0",""," Мостотреста","10к2","Щербинка",""
"ID 44797673","homeowner","https://www.cian.ru/rent/flat/307703542/","Москва","rent","flat","9","16","1","35","40000","0","Орехово-Борисово Южное","Ясеневая ","36/2","Зябликово",""
"ID 646777","realtor","https://www.cian.ru/rent/flat/268992539/","Москва","rent","flat","1","9","1","38","35000","0","Черемушки","Перекопская ","30","Зюзино",""
"ID 62641949","homeowner","https://www.cian.ru/rent/flat/291763210/","Москва","rent","flat","4","4","1","15","40000","0","Ховрино","Клинская ","8С1","Грачёвская",""
"ID 58023417","homeowner","https://www.cian.ru/rent/flat/312977082/","Москва","rent","flat","6","11","1","26.1","35000","0",""," Красовского","2к3","Щербинка",""
"Елизавета Кондрашова","realtor","https://www.cian.ru/rent/flat/317801745/","Москва","rent","flat","22","28","-1","23","40000","0","Митино","Пятницкое шоссе","56Б","Пятницкое шоссе",""
"ID 44752177","homeowner","https://www.cian.ru/rent/flat/278247592/","Москва","rent","flat","4","16","1","25","40000","0",""," Медовая Долина","3к2","Санино",""
"Априори","real_estate_agent","https://www.cian.ru/rent/flat/317282383/","Москва","rent","flat","2","9","1","32","35000","0","Чертаново Южное","Кировоградская ","44К2","Улица Академика Янгеля",""
"Елена Макеева","realtor","https://www.cian.ru/rent/flat/317471115/","Москва","rent","flat","3","5","1","32","38000","0","Выхино-Жулебино"," Вострухина","4к1","Рязанский проспект",""
